Year,Project,Trip No,Trip Start Date,Trip End Date,Location,Pot No,Latitude Decimal Degrees,Longitude Decimal Degrees,timestart,timeend,Buoy No,Depth Fathoms,Pot Type,Pot Dimension Feet,Weight Of Pot Pounds,Bait Method,Pot Escape Device,Substrate Type,Debris Type,Density Strata,Tidbit,Pot Comment,deployment,meantemp
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,1,58.32536667,-134.8769,6/8/2007 14:08,6/9/2007 7:57,9,26,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,Medium High,21,,1,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,2,58.32881667,-134.8824333,6/8/2007 14:12,6/9/2007 8:04,15,40,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,High,22,,2,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,3,58.33013333,-134.8774,6/8/2007 14:17,6/9/2007 8:17,5,33,Cone,NA,NA,NA,NA,Unknown,NA,High,28,,3,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,4,58.331,-134.88285,6/8/2007 14:21,6/9/2007 8:30,8,44,Cone,NA,NA,NA,NA,Unknown,NA,Medium High,20,,4,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,5,58.33215,-134.8866833,6/8/2007 14:25,6/9/2007 8:38,4,36,Cone,NA,NA,NA,NA,Unknown,NA,Medium,12,,5,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,6,58.33906667,-134.89115,6/8/2007 14:29,6/9/2007 8:48,26,42,Cone,NA,NA,NA,NA,Unknown,NA,Medium,10,,6,4.642777778
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,7,58.33868333,-134.8887167,6/8/2007 14:33,6/9/2007 8:57,24,48,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,Medium,16,,7,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,8,58.33928333,-134.8841667,6/8/2007 14:40,6/9/2007 9:06,19,55,Cone,NA,NA,NA,NA,Unknown,Hair kelp,Medium High,29,,8,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,9,58.34235,-134.8864333,6/8/2007 14:46,6/9/2007 9:17,12,61,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,13,,9,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,10,58.34958333,-134.88645,6/8/2007 14:51,6/9/2007 9:27,13,66,Cone,NA,NA,NA,NA,Unknown,NA,Medium,4,,10,4.15
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,11,58.35226667,-134.88765,6/8/2007 14:56,6/9/2007 9:50,25,70,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,5,,11,4.18
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,12,58.35496667,-134.8938,6/8/2007 15:02,6/9/2007 10:02,23,78,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,19,,12,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,13,58.36663333,-134.8998667,6/8/2007 15:09,6/9/2007 10:17,18,89,Cone,NA,NA,NA,NA,Unknown,Hair kelp,Medium Low,8,,13,4.774210526
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,14,58.36813333,-134.9079,6/8/2007 15:14,6/9/2007 10:26,17,37,Cone,NA,NA,NA,NA,Unknown,NA,Low/Zero,25,,14,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,15,58.37008333,-134.901,6/8/2007 15:19,6/9/2007 10:35,27,92,Cone,NA,NA,NA,NA,Unknown,NA,Medium,11,,15,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,16,58.37133333,-134.90095,6/8/2007 15:25,6/9/2007 10:46,14,96,Cone,NA,NA,NA,NA,Unknown,NA,Medium High,3,,16,4.913157895
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,17,58.37246667,-134.9109667,6/8/2007 15:32,6/9/2007 10:59,22,43,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,17,,17,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,18,58.3794,-134.9014167,6/8/2007 15:39,6/9/2007 11:10,2,39,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,7,,18,4.337368421
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,19,58.3813,-134.9042167,6/8/2007 15:44,6/9/2007 11:18,16,78,Cone,NA,NA,NA,NA,Unknown,NA,Medium,14,,19,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,20,58.38216667,-134.9099667,6/8/2007 15:50,6/9/2007 11:25,3,94,Cone,NA,NA,NA,NA,Unknown,Hair kelp,Medium,1,,20,4.983
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,21,58.3886,-134.91265,6/8/2007 15:59,6/9/2007 11:36,6,105,Cone,NA,NA,NA,NA,Unknown,NA,Medium,23,,21,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,22,58.39046667,-134.9156333,6/8/2007 16:06,6/9/2007 11:46,10,94,Cone,NA,NA,NA,NA,Unknown,NA,Medium,2,,22,4.960526316
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,23,58.3915,-134.9105667,6/8/2007 16:12,6/9/2007 11:54,20,59,Cone,NA,NA,NA,NA,Unknown,NA,Medium,9,,23,4.2
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Barlow Cove,24,58.39573333,-134.9076833,6/8/2007 16:18,6/9/2007 12:02,11,73,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,18,,24,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Juneau,24,58.53188333,-134.914,6/5/2007 14:11,6/6/2007 8:09,10,101,Cone,NA,NA,NA,NA,Mud,NA,Low/Zero,2,,25,4.941764706
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Juneau,25,58.54196667,-134.8707667,6/5/2007 14:22,6/6/2007 8:29,6,30,Cone,NA,NA,NA,NA,Mud,NA,Low/Zero,23,,26,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Juneau,26,58.53095,-134.86145,6/5/2007 14:30,6/6/2007 8:46,3,37,Cone,NA,NA,NA,NA,Unknown,NA,High,11,,27,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Juneau,27,58.53008333,-134.85965,6/5/2007 14:40,6/6/2007 9:04,16,30,Cone,NA,NA,NA,NA,Unknown,NA,High,14,,28,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Juneau,28,58.51118333,-134.8485833,6/5/2007 14:46,6/6/2007 9:15,2,30,Cone,NA,NA,NA,NA,Unknown,NA,High,7,,29,4.076842105
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Juneau,29,58.5048,-134.8484333,6/5/2007 14:52,6/6/2007 9:24,22,52,Cone,NA,NA,NA,NA,Unknown,NA,High,17,,30,NA
2007,Red King Crab Survey,1,6/4/2007 0:00,6/12/2007 0:00,Juneau,30,58.50585,-134.8224167,6/5/2007 15:00,6/6/2007 9:40,14,34,Cone,NA,NA,NA,NA,Unknown,NA,High,3,,31,4.094210526
