"Year","Project","Trip No","Trip Start Date","Trip End Date","Location","Pot No","Latitude Decimal Degrees","Longitude Decimal Degrees","timestart","timeend","Buoy No","Depth Fathoms","Pot Type","Pot Dimension Feet","Weight Of Pot Pounds","Bait Method","Pot Escape Device","Substrate Type","Debris Type","Density Strata","Tidbit","Pot Comment","deployment","meantemp"
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",1,58.32453333,-134.8759167,2010-06-13 13:49:00,2010-06-14 07:47:00,"7",24,"Cone",NA,NA,NA,NA,"Unknown",NA,"Medium High",7,NA,1,NA
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",2,58.32876667,-134.88235,2010-06-13 13:56:00,2010-06-14 07:54:00,"23",43,"Cone",NA,NA,NA,NA,"Unknown",NA,"High",23,NA,2,6
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",3,58.32828333,-134.8785667,2010-06-13 14:00:00,2010-06-14 08:03:00,"25",40,"Cone",NA,NA,NA,NA,"Unknown",NA,"High",25,NA,3,6.19166666666667
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",4,58.33113333,-134.8781,2010-06-13 14:03:00,2010-06-14 08:13:00,"26",38,"Cone",NA,NA,NA,NA,"Unknown",NA,"High",26,NA,4,6.52789473684211
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",5,58.33385,-134.8841333,2010-06-13 14:06:00,2010-06-14 08:23:00,"10",52,"Cone",NA,NA,NA,NA,"Unknown",NA,"High",10,NA,5,5.96
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",6,58.33463333,-134.8881667,2010-06-13 14:09:00,2010-06-14 08:33:00,"15",40,"Cone",NA,NA,NA,NA,"Unknown",NA,"Medium Low",15,NA,6,6.10277777777778
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",7,58.33726667,-134.88515,2010-06-13 14:12:00,2010-06-14 08:41:00,"5",56,"Cone",NA,NA,NA,NA,"Unknown",NA,"Medium High",5,NA,7,5.58888888888889
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",8,58.34121667,-134.8885,2010-06-13 14:16:00,2010-06-14 08:50:00,"6",61,"Cone",NA,NA,NA,NA,"Unknown",NA,"Medium Low",6,NA,8,5.52166666666667
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",9,58.34496667,-134.88545,2010-06-13 14:19:00,2010-06-14 08:58:00,"16",67,"Cone",NA,NA,NA,NA,"Unknown",NA,"Medium Low",16,NA,9,NA
2010,"Red King Crab Survey",1,"6/7/2010 0:00","6/17/2010 0:00","Barlow Cove",10,58.35313333,-134.8869167,2010-06-13 14:24:00,2010-06-14 09:09:00,"27",69,"Cone",NA,NA,NA,NA,"Unknown",NA,"Medium",27,NA,10,NA
