Year,Project Code,Trip No,Location Code,Location,Pot No,Depth Fathoms,Pot Condition,Specimen No,Number Of Specimens,Recruit Status,Species Code,Sex Code,Width Millimeters,Shell Condition Code,Egg Percent,Egg Development Code,Egg Condition Code,Parasite,Parasite Code,Pot Comment
2019,7,1,1,Barlow Cove,1,19,Normal,30,1,Juvenile,931,1,102,3,,,,,,
2019,7,1,1,Barlow Cove,1,19,Normal,31,1,Pre_Recruit,931,1,123,4,,,,,,
2019,7,1,1,Barlow Cove,1,19,Normal,32,1,Pre_Recruit,931,1,136,5,,,,,,
2019,7,1,1,Barlow Cove,1,19,Normal,33,1,Pre_Recruit,931,1,134,4,,,,,,
2019,7,1,1,Barlow Cove,1,19,Normal,34,4,Mature_Female,931,2,94,5,70,1,1,,,
2019,7,1,1,Barlow Cove,1,19,Normal,35,5,Mature_Female,931,2,104,5,40,1,1,,,
2019,7,1,1,Barlow Cove,2,26,Normal,6,1,Post_Recruit,931,1,155,4,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,7,1,Post_Recruit,931,1,140,5,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,8,1,Pre_Recruit,931,1,111,4,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,9,1,Pre_Recruit,931,1,118,4,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,10,1,Pre_Recruit,931,1,133,4,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,11,1,Pre_Recruit,931,1,118,5,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,12,1,Pre_Recruit,931,1,136,5,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,13,1,Pre_Recruit,931,1,136,3,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,14,1,Pre_Recruit,931,1,134,5,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,15,1,Pre_Recruit,931,1,116,5,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,16,1,Pre_Recruit,931,1,129,5,,,,,,
2019,7,1,1,Barlow Cove,2,26,Normal,17,1,Pre_Recruit,931,1,114,3,,,,,,
