Year,Project,Trip No,Trip Start Date,Trip End Date,Location,Pot No,Latitude Decimal Degrees,Longitude Decimal Degrees,timestart,timeend,Buoy No,Depth Fathoms,Pot Type,Pot Dimension Feet,Weight Of Pot Pounds,Bait Method,Pot Escape Device,Substrate Type,Debris Type,Density Strata,Tidbit,Pot Comment,deployment,meantemp
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,1,58.3234,-134.8793667,6/4/2009 13:58,6/5/2009 8:03,10,21,Cone,NA,NA,NA,NA,Unknown,NA,Medium High,10,NA,1,4.580555556
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,2,58.32625,-134.8811833,6/4/2009 14:03,6/5/2009 8:16,14,34,Cone,NA,NA,NA,NA,Mud,NA,High,3,NA,2,4.508333333
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,3,58.32696667,-134.8789167,6/4/2009 14:08,6/5/2009 8:34,12,36,Cone,NA,NA,NA,NA,Unknown,NA,High,11,NA,3,4.411111111
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,4,58.33186667,-134.8779667,6/4/2009 14:13,6/5/2009 8:56,21,36,Cone,NA,NA,NA,NA,Unknown,NA,High,12,NA,4,4.419473684
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,5,58.33086667,-134.8879667,6/4/2009 14:20,6/5/2009 9:13,13,24,Cone,NA,NA,NA,NA,Unknown,NA,Medium High,13,NA,5,4.59
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,6,58.33331667,-134.8883333,6/4/2009 14:26,6/5/2009 9:30,24,31,Cone,NA,NA,NA,NA,Unknown,NA,Medium,4,NA,6,4.467894737
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,7,58.3411,-134.8926333,6/4/2009 14:31,6/5/2009 9:44,7,37,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,14,NA,7,4.43
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,8,58.35131667,-134.8712167,6/4/2009 14:39,6/5/2009 9:56,18,74,Cone,NA,NA,NA,NA,Unknown,Hair kelp,Low/Zero,15,NA,8,4.596842105
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,9,58.35036667,-134.89715,6/4/2009 14:44,6/5/2009 10:11,22,56,Cone,NA,NA,NA,NA,Unknown,Hair kelp,Medium Low,9,NA,9,5.255
2009,Red King Crab Survey,1,6/3/2009 0:00,6/11/2009 0:00,Barlow Cove,10,58.36008333,-134.89705,6/4/2009 14:50,6/5/2009 10:22,20,81,Cone,NA,NA,NA,NA,Unknown,Hair kelp,Medium Low,20,NA,10,4.604
